method,ratio,user_id,trip_id,pred_center_id_rerun,pred_center_id_saved,_merge,exact_region_match
grid_full_prefix,0.25,0,20090603064302,0,0,both,True
grid_full_prefix,0.25,0,20090604053730,4,4,both,True
grid_full_prefix,0.25,0,20090605012707,11,11,both,True
grid_full_prefix,0.25,0,20090606060037,4,4,both,True
grid_full_prefix,0.25,0,20090607075255,4,4,both,True
grid_full_prefix,0.25,0,20090607163831,0,0,both,True
grid_full_prefix,0.25,0,20090608060034,4,4,both,True
grid_full_prefix,0.25,0,20090609002030,4,4,both,True
grid_full_prefix,0.25,0,20090610062438,4,4,both,True
grid_full_prefix,0.25,0,20090610223636,11,11,both,True
grid_full_prefix,0.25,0,20090611221204,0,0,both,True
grid_full_prefix,0.25,0,20090612072227,4,4,both,True
grid_full_prefix,0.25,0,20090612220336,4,4,both,True
grid_full_prefix,0.25,0,20090614065303,0,0,both,True
grid_full_prefix,0.25,0,20090615055603,4,4,both,True
grid_full_prefix,0.25,0,20090615183206,0,0,both,True
grid_full_prefix,0.25,0,20090616054128,4,4,both,True
grid_full_prefix,0.25,0,20090618005931,0,0,both,True
grid_full_prefix,0.25,0,20090619004036,4,4,both,True
grid_full_prefix,0.25,0,20090620024527,4,4,both,True
grid_full_prefix,0.25,0,20090621101407,4,4,both,True
grid_full_prefix,0.25,0,20090622095432,11,11,both,True
grid_full_prefix,0.25,0,20090623043635,4,4,both,True
grid_full_prefix,0.25,0,20090623233404,0,0,both,True
grid_full_prefix,0.25,0,20090624070430,4,4,both,True
grid_full_prefix,0.25,0,20090624215736,0,0,both,True
grid_full_prefix,0.25,0,20090625041631,4,4,both,True
grid_full_prefix,0.25,0,20090626101307,4,4,both,True
grid_full_prefix,0.25,0,20090627025208,4,4,both,True
grid_full_prefix,0.25,0,20090627101821,4,4,both,True
grid_full_prefix,0.25,0,20090628005229,16,16,both,True
grid_full_prefix,0.25,0,20090629011630,4,4,both,True
grid_full_prefix,0.25,0,20090629173335,0,0,both,True
grid_full_prefix,0.25,0,20090630045606,4,4,both,True
grid_full_prefix,0.25,0,20090701044033,0,0,both,True
grid_full_prefix,0.25,0,20090701171936,4,4,both,True
grid_full_prefix,0.25,0,20090702022530,4,4,both,True
grid_full_prefix,0.25,0,20090703002800,4,4,both,True
grid_full_prefix,0.25,0,20090704042634,0,0,both,True
grid_full_prefix,0.25,0,20090705025307,4,4,both,True
grid_full_prefix,0.25,16,20081202110923,3,3,both,True
grid_full_prefix,0.25,16,20081203091735,4,4,both,True
grid_full_prefix,0.25,16,20081208003122,0,0,both,True
grid_full_prefix,0.25,16,20081209014205,3,3,both,True
grid_full_prefix,0.25,16,20081210004205,3,3,both,True
grid_full_prefix,0.25,16,20081210102335,0,0,both,True
grid_full_prefix,0.25,16,20081211005204,0,0,both,True
grid_full_prefix,0.25,16,20081212071854,0,0,both,True
grid_full_prefix,0.25,16,20081213085404,3,3,both,True
grid_full_prefix,0.25,16,20081214050759,3,3,both,True
grid_full_prefix,0.25,16,20081215004559,3,3,both,True
grid_full_prefix,0.25,16,20081216010805,3,3,both,True
grid_full_prefix,0.25,17,20090319050008,0,0,both,True
grid_full_prefix,0.25,17,20090319091136,0,0,both,True
grid_full_prefix,0.25,17,20090319124458,0,0,both,True
grid_full_prefix,0.25,17,20090320000946,0,0,both,True
grid_full_prefix,0.25,17,20090320004539,3,3,both,True
grid_full_prefix,0.25,17,20090321050356,0,0,both,True
grid_full_prefix,0.25,17,20090322052036,0,0,both,True
grid_full_prefix,0.25,17,20090323000531,0,0,both,True
grid_full_prefix,0.25,17,20090323145837,0,0,both,True
grid_full_prefix,0.25,17,20090323212145,54,54,both,True
grid_full_prefix,0.25,17,20090325000739,0,0,both,True
grid_full_prefix,0.25,17,20090326000154,0,0,both,True
grid_full_prefix,0.25,17,20090326113406,0,0,both,True
grid_full_prefix,0.25,17,20090327002511,0,0,both,True
grid_full_prefix,0.25,17,20090328041725,1,1,both,True
grid_full_prefix,0.25,17,20090329025818,0,0,both,True
grid_full_prefix,0.25,17,20090329235347,0,0,both,True
grid_full_prefix,0.25,17,20090330112458,3,3,both,True
grid_full_prefix,0.25,17,20090331235635,0,0,both,True
grid_full_prefix,0.25,17,20090401235303,0,0,both,True
grid_full_prefix,0.25,17,20090402235820,0,0,both,True
grid_full_prefix,0.25,17,20090403131503,3,3,both,True
grid_full_prefix,0.25,17,20090404020155,0,0,both,True
grid_full_prefix,0.25,17,20090405053007,0,0,both,True
grid_full_prefix,0.25,17,20090406060347,0,0,both,True
grid_full_prefix,0.25,17,20090406233133,1,1,both,True
grid_full_prefix,0.25,17,20090407122913,0,0,both,True
grid_full_prefix,0.25,17,20090407234410,0,0,both,True
grid_full_prefix,0.25,17,20090408235354,0,0,both,True
grid_full_prefix,0.25,17,20090409234539,0,0,both,True
grid_full_prefix,0.25,17,20090411000325,0,0,both,True
grid_full_prefix,0.25,17,20090412014730,0,0,both,True
grid_full_prefix,0.25,17,20090413000008,0,0,both,True
grid_full_prefix,0.25,17,20090413235216,0,0,both,True
grid_full_prefix,0.25,17,20090415234514,0,0,both,True
grid_full_prefix,0.25,17,20090416234739,0,0,both,True
grid_full_prefix,0.25,17,20090418014515,3,3,both,True
grid_full_prefix,0.25,17,20090419010400,0,0,both,True
grid_full_prefix,0.25,17,20090419130441,1,1,both,True
grid_full_prefix,0.25,17,20090420000026,0,0,both,True
